fragment.ID.full,fragment.ID,species,genotype,chamber.channel,run,temp.Cat,start.time,stop.time,light_dark,treatment
PV3_L_22_O2,PV3_L,P. verrucosa,3,2,L1,22,1:35:00 PM,1:55:00 PM,light,enriched
PV6_L_22_O2,PV6_L,P. verrucosa,6,5,L1,22,1:35:00 PM,1:55:00 PM,light,enriched
PV8_L_22_O2,PV8_L,P. verrucosa,8,4,L1,22,1:35:00 PM,1:55:00 PM,light,enriched
PV11_L_22_O2,PV11_L,P. verrucosa,11,6,L1,22,1:35:00 PM,1:55:00 PM,light,enriched
PV21_L_22_O2,PV21_L,P. verrucosa,21,10,L1,22,1:35:00 PM,1:55:00 PM,light,control
PV29_L_22_O2,PV29_L,P. verrucosa,29,3,L1,22,1:35:00 PM,1:55:00 PM,light,control
PV30_L_22_O2,PV30_L,P. verrucosa,30,7,L1,22,1:35:00 PM,1:55:00 PM,light,control
PV32_L_22_O2,PV32_L,P. verrucosa,32,9,L1,22,1:35:00 PM,1:55:00 PM,light,control
BLANK1_L_22_O2,BLANK1_L,P. verrucosa,BLANK,8,L1,22,1:35:00 PM,1:55:00 PM,light,BLANK
BLANK2_L_22_O2,BLANK2_L,P. verrucosa,BLANK,1,L1,22,1:35:00 PM,1:55:00 PM,light,BLANK
PV3_L_24_O2,PV3_L,P. verrucosa,3,2,L1,24,2:11:00 PM,2:31:00 PM,light,enriched
PV6_L_24_O2,PV6_L,P. verrucosa,6,5,L1,24,2:11:00 PM,2:31:00 PM,light,enriched
PV8_L_24_O2,PV8_L,P. verrucosa,8,4,L1,24,2:11:00 PM,2:31:00 PM,light,enriched
PV11_L_24_O2,PV11_L,P. verrucosa,11,6,L1,24,2:11:00 PM,2:31:00 PM,light,enriched
PV21_L_24_O2,PV21_L,P. verrucosa,21,10,L1,24,2:11:00 PM,2:31:00 PM,light,control
PV29_L_24_O2,PV29_L,P. verrucosa,29,3,L1,24,2:11:00 PM,2:31:00 PM,light,control
PV30_L_24_O2,PV30_L,P. verrucosa,30,7,L1,24,2:11:00 PM,2:31:00 PM,light,control
PV32_L_24_O2,PV32_L,P. verrucosa,32,9,L1,24,2:11:00 PM,2:31:00 PM,light,control
BLANK1_L_24_O2,BLANK1_L,P. verrucosa,BLANK,8,L1,24,2:11:00 PM,2:31:00 PM,light,BLANK
BLANK2_L_24_O2,BLANK2_L,P. verrucosa,BLANK,1,L1,24,2:11:00 PM,2:31:00 PM,light,BLANK
PV3_L_28_O2,PV3_L,P. verrucosa,3,2,L1,28,3:07:00 PM,3:27:00 PM,light,enriched
PV6_L_28_O2,PV6_L,P. verrucosa,6,5,L1,28,3:07:00 PM,3:27:00 PM,light,enriched
PV8_L_28_O2,PV8_L,P. verrucosa,8,4,L1,28,3:07:00 PM,3:27:00 PM,light,enriched
PV11_L_28_O2,PV11_L,P. verrucosa,11,6,L1,28,3:07:00 PM,3:27:00 PM,light,enriched
PV21_L_28_O2,PV21_L,P. verrucosa,21,10,L1,28,3:07:00 PM,3:27:00 PM,light,control
PV29_L_28_O2,PV29_L,P. verrucosa,29,3,L1,28,3:07:00 PM,3:27:00 PM,light,control
PV30_L_28_O2,PV30_L,P. verrucosa,30,7,L1,28,3:07:00 PM,3:27:00 PM,light,control
PV32_L_28_O2,PV32_L,P. verrucosa,32,9,L1,28,3:07:00 PM,3:27:00 PM,light,control
BLANK1_L_28_O2,BLANK1_L,P. verrucosa,BLANK,8,L1,28,3:07:00 PM,3:27:00 PM,light,BLANK
BLANK2_L_28_O2,BLANK2_L,P. verrucosa,BLANK,1,L1,28,3:07:00 PM,3:27:00 PM,light,BLANK
PV3_L_30_O2,PV3_L,P. verrucosa,3,2,L1,30,3:45:00 PM,4:07:00 PM,light,enriched
PV6_L_30_O2,PV6_L,P. verrucosa,6,5,L1,30,3:45:00 PM,4:07:00 PM,light,enriched
PV8_L_30_O2,PV8_L,P. verrucosa,8,4,L1,30,3:45:00 PM,4:07:00 PM,light,enriched
PV11_L_30_O2,PV11_L,P. verrucosa,11,6,L1,30,3:45:00 PM,4:07:00 PM,light,enriched
PV21_L_30_O2,PV21_L,P. verrucosa,21,10,L1,30,3:45:00 PM,4:07:00 PM,light,control
PV29_L_30_O2,PV29_L,P. verrucosa,29,3,L1,30,3:45:00 PM,4:07:00 PM,light,control
PV30_L_30_O2,PV30_L,P. verrucosa,30,7,L1,30,3:45:00 PM,4:07:00 PM,light,control
PV32_L_30_O2,PV32_L,P. verrucosa,32,9,L1,30,3:45:00 PM,4:07:00 PM,light,control
BLANK1_L_30_O2,BLANK1_L,P. verrucosa,BLANK,8,L1,30,3:45:00 PM,4:07:00 PM,light,BLANK
BLANK2_L_30_O2,BLANK2_L,P. verrucosa,BLANK,1,L1,30,3:45:00 PM,4:07:00 PM,light,BLANK
PV3_L_32_O2,PV3_L,P. verrucosa,3,2,L1,32,4:24:00 PM,4:44:00 PM,light,enriched
PV6_L_32_O2,PV6_L,P. verrucosa,6,5,L1,32,4:24:00 PM,4:44:00 PM,light,enriched
PV8_L_32_O2,PV8_L,P. verrucosa,8,4,L1,32,4:24:00 PM,4:44:00 PM,light,enriched
PV11_L_32_O2,PV11_L,P. verrucosa,11,6,L1,32,4:24:00 PM,4:44:00 PM,light,enriched
PV21_L_32_O2,PV21_L,P. verrucosa,21,10,L1,32,4:24:00 PM,4:44:00 PM,light,control
PV29_L_32_O2,PV29_L,P. verrucosa,29,3,L1,32,4:24:00 PM,4:44:00 PM,light,control
PV30_L_32_O2,PV30_L,P. verrucosa,30,7,L1,32,4:24:00 PM,4:44:00 PM,light,control
PV32_L_32_O2,PV32_L,P. verrucosa,32,9,L1,32,4:24:00 PM,4:44:00 PM,light,control
BLANK1_L_32_O2,BLANK1_L,P. verrucosa,BLANK,8,L1,32,4:24:00 PM,4:44:00 PM,light,BLANK
BLANK2_L_32_O2,BLANK2_L,P. verrucosa,BLANK,1,L1,32,4:24:00 PM,4:44:00 PM,light,BLANK
PV3_L_34_O2,PV3_L,P. verrucosa,3,2,L1,34,5:01:00 PM,5:22:00 PM,light,enriched
PV6_L_34_O2,PV6_L,P. verrucosa,6,5,L1,34,5:01:00 PM,5:22:00 PM,light,enriched
PV8_L_34_O2,PV8_L,P. verrucosa,8,4,L1,34,5:01:00 PM,5:22:00 PM,light,enriched
PV11_L_34_O2,PV11_L,P. verrucosa,11,6,L1,34,5:01:00 PM,5:22:00 PM,light,enriched
PV21_L_34_O2,PV21_L,P. verrucosa,21,10,L1,34,5:01:00 PM,5:22:00 PM,light,control
PV29_L_34_O2,PV29_L,P. verrucosa,29,3,L1,34,5:01:00 PM,5:22:00 PM,light,control
PV30_L_34_O2,PV30_L,P. verrucosa,30,7,L1,34,5:01:00 PM,5:22:00 PM,light,control
PV32_L_34_O2,PV32_L,P. verrucosa,32,9,L1,34,5:01:00 PM,5:22:00 PM,light,control
BLANK1_L_34_O2,BLANK1_L,P. verrucosa,BLANK,8,L1,34,5:01:00 PM,5:22:00 PM,light,BLANK
BLANK2_L_34_O2,BLANK2_L,P. verrucosa,BLANK,1,L1,34,5:01:00 PM,5:22:00 PM,light,BLANK
PV3_L_36_O2,PV3_L,P. verrucosa,3,2,L1,36,5:37:00 PM,5:57:00 PM,light,enriched
PV6_L_36_O2,PV6_L,P. verrucosa,6,5,L1,36,5:37:00 PM,5:57:00 PM,light,enriched
PV8_L_36_O2,PV8_L,P. verrucosa,8,4,L1,36,5:37:00 PM,5:57:00 PM,light,enriched
PV11_L_36_O2,PV11_L,P. verrucosa,11,6,L1,36,5:37:00 PM,5:57:00 PM,light,enriched
PV21_L_36_O2,PV21_L,P. verrucosa,21,10,L1,36,5:37:00 PM,5:57:00 PM,light,control
PV29_L_36_O2,PV29_L,P. verrucosa,29,3,L1,36,5:37:00 PM,5:57:00 PM,light,control
PV30_L_36_O2,PV30_L,P. verrucosa,30,7,L1,36,5:37:00 PM,5:57:00 PM,light,control
PV32_L_36_O2,PV32_L,P. verrucosa,32,9,L1,36,5:37:00 PM,5:57:00 PM,light,control
BLANK1_L_36_O2,BLANK1_L,P. verrucosa,BLANK,8,L1,36,5:37:00 PM,5:57:00 PM,light,BLANK
