"","individual.ID","temp.Cat","treatment","Temp.C","umol.chl.ug.hr","rate.type","light_dark","fragment.ID"
"250","PV9",24,"enriched",24.32692,15.4438909759821,"R","dark","PV9_D"
"253","PV10",28,"enriched",28.2759387755102,20.6110330923905,"R","dark","PV10_D"
"254","PV18",28,"control",28.0611836734694,28.3157980204068,"R","dark","PV18_D"
"255","PV20",28,"control",28.2094081632653,36.5596277640669,"R","dark","PV20_D"
"256","PV22",28,"control",28.2214897959184,20.1809093796314,"R","dark","PV22_D"
"257","PV24",28,"control",28.1428775510204,14.216519727586,"R","dark","PV24_D"
"258","PV4",28,"enriched",28.068,12.2900938872068,"R","dark","PV4_D"
"259","PV5",28,"enriched",28.1994489795918,20.0156064245477,"R","dark","PV5_D"
"260","PV9",28,"enriched",28.2845510204082,18.6078664525096,"R","dark","PV9_D"
"263","PV10",30,"enriched",30.0036326530612,22.0279427954708,"R","dark","PV10_D"
"264","PV18",30,"control",29.8315102040816,33.167741683999,"R","dark","PV18_D"
"265","PV20",30,"control",29.9669183673469,39.6428668287957,"R","dark","PV20_D"
"266","PV22",30,"control",30.01,21.4957969972856,"R","dark","PV22_D"
"267","PV24",30,"control",29.9631428571429,17.3236424611968,"R","dark","PV24_D"
"268","PV4",30,"enriched",29.9628163265306,13.9615748125808,"R","dark","PV4_D"
"269","PV5",30,"enriched",29.9580816326531,24.1302367653041,"R","dark","PV5_D"
"270","PV9",30,"enriched",30.0588571428571,20.8272417461493,"R","dark","PV9_D"
"273","PV10",32,"enriched",31.9251632653061,25.0675206189549,"R","dark","PV10_D"
"274","PV18",32,"control",31.7169795918367,36.7367449852227,"R","dark","PV18_D"
"275","PV20",32,"control",31.8691020408163,52.0063844153013,"R","dark","PV20_D"
"276","PV22",32,"control",31.9331020408163,24.2455773552333,"R","dark","PV22_D"
"277","PV24",32,"control",31.8686326530612,19.1696983980544,"R","dark","PV24_D"
"278","PV4",32,"enriched",31.8083469387755,15.4360784064733,"R","dark","PV4_D"
"279","PV5",32,"enriched",31.8721632653061,25.5059063331921,"R","dark","PV5_D"
"280","PV9",32,"enriched",31.9740816326531,21.2347767843435,"R","dark","PV9_D"
"283","PV10",34,"enriched",34.0326734693878,25.9684606809359,"R","dark","PV10_D"
"284","PV18",34,"control",33.8292448979592,41.8479260055605,"R","dark","PV18_D"
"285","PV20",34,"control",34.1435714285714,56.3187975915268,"R","dark","PV20_D"
"286","PV22",34,"control",33.9720816326531,27.3453088536606,"R","dark","PV22_D"
"287","PV24",34,"control",33.892306122449,21.2794238928745,"R","dark","PV24_D"
"288","PV4",34,"enriched",34.0043469387755,18.5210993501071,"R","dark","PV4_D"
"289","PV5",34,"enriched",33.9045306122449,31.410408154489,"R","dark","PV5_D"
"290","PV9",34,"enriched",34.1022857142857,26.4135657913772,"R","dark","PV9_D"
"293","PV10",36,"enriched",36.2284693877551,24.3251128193445,"R","dark","PV10_D"
"294","PV18",36,"control",35.9717959183673,34.9144917093055,"R","dark","PV18_D"
"295","PV20",36,"control",36.0862244897959,48.824439027838,"R","dark","PV20_D"
"296","PV22",36,"control",36.2595,28.1181691363368,"R","dark","PV22_D"
"297","PV24",36,"control",35.9250816326531,19.3276752172811,"R","dark","PV24_D"
"298","PV4",36,"enriched",36.1159591836735,17.7862297850977,"R","dark","PV4_D"
"299","PV5",36,"enriched",36.1188571428571,29.2296589736503,"R","dark","PV5_D"
"300","PV9",36,"enriched",36.3026734693878,20.7622656848228,"R","dark","PV9_D"
"303","PV10",37,"enriched",36.9787755102041,20.0560271152686,"R","dark","PV10_D"
"304","PV18",37,"control",36.6884897959184,32.3495294809055,"R","dark","PV18_D"
"305","PV20",37,"control",36.9135102040816,42.6432781382832,"R","dark","PV20_D"
"306","PV22",37,"control",36.9301632653061,25.582011145165,"R","dark","PV22_D"
"307","PV24",37,"control",36.7878979591837,17.9560867469607,"R","dark","PV24_D"
"308","PV4",37,"enriched",36.823612244898,15.0746985887351,"R","dark","PV4_D"
"309","PV5",37,"enriched",36.8743673469388,25.549776952569,"R","dark","PV5_D"
"310","PV9",37,"enriched",37.0282857142857,16.4333663127849,"R","dark","PV9_D"
"313","PV10",38,"enriched",37.9069795918367,18.1202695065992,"R","dark","PV10_D"
"314","PV18",38,"control",38.058693877551,6.91414856052738,"R","dark","PV18_D"
"315","PV20",38,"control",37.8134285714286,36.1607781731557,"R","dark","PV20_D"
"316","PV22",38,"control",37.9227142857143,20.1694826482008,"R","dark","PV22_D"
"317","PV24",38,"control",38.1228571428571,15.3118650996065,"R","dark","PV24_D"
"318","PV4",38,"enriched",38.0654693877551,13.9248986292878,"R","dark","PV4_D"
"319","PV5",38,"enriched",38.0917755102041,22.6768656878419,"R","dark","PV5_D"
"320","PV9",38,"enriched",37.9940612244898,13.3727577443282,"R","dark","PV9_D"
"322","PV10",39,"enriched",39.1183958333333,13.970179481065,"R","dark","PV10_D"
"323","PV18",39,"control",38.7010416666667,29.6342018598856,"R","dark","PV18_D"
"324","PV20",39,"control",39.0467346938776,32.687237654762,"R","dark","PV20_D"
"325","PV22",39,"control",39.0851458333333,19.2389249239579,"R","dark","PV22_D"
"326","PV24",39,"control",38.9780204081633,15.2295527421212,"R","dark","PV24_D"
"327","PV4",39,"enriched",38.902612244898,14.1533183298706,"R","dark","PV4_D"
"328","PV5",39,"enriched",38.8969375,24.3977549839681,"R","dark","PV5_D"
"329","PV9",39,"enriched",39.2268541666667,9.25044029410391,"R","dark","PV9_D"
"332","PV12",20,"enriched",20.1142040816327,10.7335463732974,"R","dark","PV12_D"
"333","PV14",20,"enriched",20.0947142857143,21.5973635624992,"R","dark","PV14_D"
"334","PV15",20,"enriched",20.0418367346939,41.224184079987,"R","dark","PV15_D"
"335","PV16",20,"enriched",20.0931632653061,9.33108776179346,"R","dark","PV16_D"
"336","PV26",20,"control",20.2141632653061,13.8746554882842,"R","dark","PV26_D"
"337","PV27",20,"control",20.206125,53.741962739565,"R","dark","PV27_D"
"338","PV28",20,"control",19.9975102040816,14.0125155993686,"R","dark","PV28_D"
"339","PV31",20,"control",20.1067142857143,76.8073266655953,"R","dark","PV31_D"
"342","PV12",22,"enriched",21.909306122449,10.1193437362364,"R","dark","PV12_D"
"343","PV14",22,"enriched",21.9418163265306,21.3300731734844,"R","dark","PV14_D"
"344","PV15",22,"enriched",21.942306122449,49.0133072730033,"R","dark","PV15_D"
"345","PV16",22,"enriched",22.0255714285714,9.15663305098006,"R","dark","PV16_D"
"346","PV26",22,"control",21.9934693877551,18.0999272403997,"R","dark","PV26_D"
"347","PV27",22,"control",22.0541632653061,53.7880440236672,"R","dark","PV27_D"
"348","PV28",22,"control",21.8362448979592,14.4171532116475,"R","dark","PV28_D"
"349","PV31",22,"control",21.9694285714286,75.4191051498042,"R","dark","PV31_D"
"352","PV12",24,"enriched",24.0540204081633,11.1244813631804,"R","dark","PV12_D"
"353","PV14",24,"enriched",24.0185833333333,22.9722737350151,"R","dark","PV14_D"
"354","PV15",24,"enriched",23.8648541666667,55.9380339876329,"R","dark","PV15_D"
"355","PV16",24,"enriched",24.064693877551,10.2249530972532,"R","dark","PV16_D"
"356","PV26",24,"control",24.13525,29.5113571001081,"R","dark","PV26_D"
"357","PV27",24,"control",24.1408333333333,58.3834964078832,"R","dark","PV27_D"
"358","PV28",24,"control",23.7919591836735,16.3467507568372,"R","dark","PV28_D"
"359","PV31",24,"control",23.9959166666667,81.0927145536753,"R","dark","PV31_D"
"362","PV12",28,"enriched",28.22346,15.3394616248174,"R","dark","PV12_D"
"363","PV14",28,"enriched",28.03632,29.9314914147995,"R","dark","PV14_D"
"364","PV15",28,"enriched",27.89396,66.8107888398519,"R","dark","PV15_D"
"365","PV16",28,"enriched",28.04202,12.2666573815287,"R","dark","PV16_D"
"366","PV26",28,"control",28.02544,24.3783263867806,"R","dark","PV26_D"
"367","PV27",28,"control",28.22178,75.7551601566039,"R","dark","PV27_D"
"368","PV28",28,"control",27.99206,19.4976678162673,"R","dark","PV28_D"
"369","PV31",28,"control",28.186,96.4852704893396,"R","dark","PV31_D"
"372","PV12",30,"enriched",30.09575,16.6422682413995,"R","dark","PV12_D"
"373","PV14",30,"enriched",30.050375,30.0037650149761,"R","dark","PV14_D"
"374","PV15",30,"enriched",29.9820816326531,74.3391343527839,"R","dark","PV15_D"
"375","PV16",30,"enriched",30.0729591836735,11.9487674213042,"R","dark","PV16_D"
"376","PV26",30,"control",30.1820625,24.2765999026691,"R","dark","PV26_D"
"377","PV27",30,"control",30.1922857142857,78.318046595171,"R","dark","PV27_D"
"378","PV28",30,"control",29.9133125,19.8768652850958,"R","dark","PV28_D"
"379","PV31",30,"control",30.0826326530612,98.6365543335056,"R","dark","PV31_D"
"382","PV12",32,"enriched",31.8875918367347,18.4693460752795,"R","dark","PV12_D"
"383","PV14",32,"enriched",31.8458775510204,34.0590953550101,"R","dark","PV14_D"
"384","PV15",32,"enriched",31.7672040816327,72.3080528237642,"R","dark","PV15_D"
"385","PV16",32,"enriched",31.8987346938776,13.0846293360336,"R","dark","PV16_D"
"386","PV26",32,"control",31.9149183673469,29.8902346400269,"R","dark","PV26_D"
"387","PV27",32,"control",31.9669591836735,87.6894506196401,"R","dark","PV27_D"
"388","PV28",32,"control",31.7658571428571,24.6328037646811,"R","dark","PV28_D"
"389","PV31",32,"control",31.8930612244898,110.010778739283,"R","dark","PV31_D"
"392","PV12",34,"enriched",33.7205416666667,20.7093393652089,"R","dark","PV12_D"
"393","PV14",34,"enriched",33.7150208333333,36.1512130276749,"R","dark","PV14_D"
"394","PV15",34,"enriched",33.5798541666667,87.2079742676013,"R","dark","PV15_D"
"395","PV16",34,"enriched",33.612125,13.8138402807651,"R","dark","PV16_D"
"396","PV26",34,"control",33.7058958333333,33.3299948058971,"R","dark","PV26_D"
"397","PV27",34,"control",33.8284791666667,105.469142974716,"R","dark","PV27_D"
"398","PV28",34,"control",33.577625,26.0245302375766,"R","dark","PV28_D"
"399","PV31",34,"control",33.72175,129.901591260625,"R","dark","PV31_D"
"402","PV12",36,"enriched",35.8215471698113,21.0616286545183,"R","dark","PV12_D"
