"","tank.number","Date.Time","Temp"
"200",1,2019-10-16 15:08:00,28.06
"201",1,2019-10-16 15:38:00,27.961
"202",1,2019-10-16 16:08:00,27.961
"203",1,2019-10-16 16:38:00,27.862
"204",1,2019-10-16 17:08:00,27.764
"205",1,2019-10-16 17:38:00,27.665
"206",1,2019-10-16 18:08:00,27.468
"207",1,2019-10-16 18:38:00,27.567
"208",1,2019-10-16 19:08:00,27.665
"209",1,2019-10-16 19:38:00,27.567
"210",1,2019-10-16 20:08:00,27.567
"211",1,2019-10-16 20:38:00,27.468
"212",1,2019-10-16 21:08:00,27.37
"213",1,2019-10-16 21:38:00,27.272
"214",1,2019-10-16 22:08:00,27.173
"215",1,2019-10-16 22:38:00,27.075
"216",1,2019-10-16 23:08:00,26.977
"217",1,2019-10-16 23:38:00,26.879
"218",1,2019-10-17 00:08:00,26.781
"219",1,2019-10-17 00:38:00,26.781
"220",1,2019-10-17 01:08:00,26.683
"221",1,2019-10-17 01:38:00,26.585
"222",1,2019-10-17 02:08:00,26.488
"223",1,2019-10-17 02:38:00,26.488
"224",1,2019-10-17 03:08:00,26.39
"225",1,2019-10-17 03:38:00,26.292
"226",1,2019-10-17 04:08:00,26.292
"227",1,2019-10-17 04:38:00,26.195
"228",1,2019-10-17 05:08:00,26.195
"229",1,2019-10-17 05:38:00,26.195
"230",1,2019-10-17 06:08:00,26.097
"231",1,2019-10-17 06:38:00,26.097
"232",1,2019-10-17 07:08:00,26.097
"233",1,2019-10-17 07:38:00,26
"234",1,2019-10-17 08:08:00,26
"235",1,2019-10-17 08:38:00,26
"236",1,2019-10-17 09:08:00,25.902
"237",1,2019-10-17 09:38:00,26
"238",1,2019-10-17 10:08:00,26
"239",1,2019-10-17 10:38:00,26.097
"240",1,2019-10-17 11:08:00,26.292
"241",1,2019-10-17 11:38:00,26.39
"242",1,2019-10-17 12:08:00,26.585
"243",1,2019-10-17 12:38:00,26.879
"244",1,2019-10-17 13:08:00,27.173
"245",1,2019-10-17 13:38:00,27.468
"246",1,2019-10-17 14:08:00,27.665
"247",1,2019-10-17 14:38:00,27.862
"248",1,2019-10-17 15:08:00,27.961
"249",1,2019-10-17 15:38:00,28.06
"250",1,2019-10-17 16:08:00,28.258
"251",1,2019-10-17 16:38:00,28.258
"252",1,2019-10-17 17:08:00,28.258
"253",1,2019-10-17 17:38:00,28.258
"254",1,2019-10-17 18:08:00,28.258
"255",1,2019-10-17 18:38:00,28.258
"256",1,2019-10-17 19:08:00,28.258
"257",1,2019-10-17 19:38:00,28.258
"258",1,2019-10-17 20:08:00,28.159
"259",1,2019-10-17 20:38:00,28.06
"260",1,2019-10-17 21:08:00,27.961
"261",1,2019-10-17 21:38:00,27.764
"262",1,2019-10-17 22:08:00,27.665
"263",1,2019-10-17 22:38:00,27.567
"264",1,2019-10-17 23:08:00,27.468
"265",1,2019-10-17 23:38:00,27.37
"266",1,2019-10-18 00:08:00,27.272
"267",1,2019-10-18 00:38:00,27.173
"268",1,2019-10-18 01:08:00,27.075
"269",1,2019-10-18 01:38:00,26.977
"270",1,2019-10-18 02:08:00,26.879
"271",1,2019-10-18 02:38:00,26.879
"272",1,2019-10-18 03:08:00,26.781
"273",1,2019-10-18 03:38:00,26.781
"274",1,2019-10-18 04:08:00,26.683
"275",1,2019-10-18 04:38:00,26.585
"276",1,2019-10-18 05:08:00,26.585
"277",1,2019-10-18 05:38:00,26.488
"278",1,2019-10-18 06:08:00,26.488
"279",1,2019-10-18 06:38:00,26.39
"280",1,2019-10-18 07:08:00,26.39
"281",1,2019-10-18 07:38:00,26.292
"282",1,2019-10-18 08:08:00,26.292
"283",1,2019-10-18 08:38:00,26.195
"284",1,2019-10-18 09:08:00,26.195
"285",1,2019-10-18 09:38:00,26.195
"286",1,2019-10-18 10:08:00,26.195
"287",1,2019-10-18 10:38:00,26.292
"288",1,2019-10-18 11:08:00,26.488
"289",1,2019-10-18 11:38:00,26.683
"290",1,2019-10-18 12:08:00,26.879
"291",1,2019-10-18 12:38:00,27.075
"292",1,2019-10-18 13:08:00,27.37
"293",1,2019-10-18 13:38:00,27.567
"294",1,2019-10-18 14:08:00,27.764
"295",1,2019-10-18 14:38:00,27.961
"296",1,2019-10-18 15:08:00,28.258
"297",1,2019-10-18 15:38:00,28.357
"298",1,2019-10-18 16:08:00,28.555
"299",1,2019-10-18 16:38:00,28.754
"300",1,2019-10-18 17:08:00,28.853
"301",1,2019-10-18 17:38:00,28.953
"302",1,2019-10-18 18:08:00,28.853
"303",1,2019-10-18 18:38:00,28.853
"304",1,2019-10-18 19:08:00,28.853
"305",1,2019-10-18 19:38:00,28.754
"306",1,2019-10-18 20:08:00,28.555
"307",1,2019-10-18 20:38:00,28.456
"308",1,2019-10-18 21:08:00,28.258
"309",1,2019-10-18 21:38:00,28.159
"310",1,2019-10-18 22:08:00,28.06
"311",1,2019-10-18 22:38:00,27.862
"312",1,2019-10-18 23:08:00,27.764
"313",1,2019-10-18 23:38:00,27.665
"314",1,2019-10-19 00:08:00,27.567
"315",1,2019-10-19 00:38:00,27.468
"316",1,2019-10-19 01:08:00,27.37
"317",1,2019-10-19 01:38:00,27.272
"318",1,2019-10-19 02:08:00,27.173
"319",1,2019-10-19 02:38:00,27.075
"320",1,2019-10-19 03:08:00,27.075
"321",1,2019-10-19 03:38:00,26.977
"322",1,2019-10-19 04:08:00,26.879
