"","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID"
"167","PV2",32,"enriched",31.8688333333333,0.814006580401618,"R","dark","PV2_D"
"168","PV23",32,"control",31.7065471698113,0.446334865091403,"R","dark","PV23_D"
"169","PV25",32,"control",31.9034074074074,0.840862190148907,"R","dark","PV25_D"
"170","PV7",32,"enriched",31.7185185185185,0.714059772295156,"R","dark","PV7_D"
"173","PV1",34,"enriched",33.728,0.550146431586845,"R","dark","PV1_D"
"174","PV13",34,"enriched",33.7516530612245,0.757022463603459,"R","dark","PV13_D"
"175","PV17",34,"control",33.5861224489796,0.549410861361584,"R","dark","PV17_D"
"176","PV19",34,"control",33.9858979591837,0.399048428856387,"R","dark","PV19_D"
"177","PV2",34,"enriched",33.9690204081633,0.825355641748617,"R","dark","PV2_D"
"178","PV23",34,"control",33.6115510204082,0.427387042350685,"R","dark","PV23_D"
"179","PV25",34,"control",34.0367959183673,0.958792118040919,"R","dark","PV25_D"
"180","PV7",34,"enriched",33.6326326530612,0.738433837671221,"R","dark","PV7_D"
"183","PV1",36,"enriched",35.5679285714286,0.554882336316024,"R","dark","PV1_D"
"184","PV13",36,"enriched",35.9297678571429,0.70997054831753,"R","dark","PV13_D"
"185","PV17",36,"control",35.6415714285714,0.542701548817555,"R","dark","PV17_D"
"186","PV19",36,"control",36.1386964285714,0.331886256401886,"R","dark","PV19_D"
"187","PV2",36,"enriched",35.8686785714286,0.764919232243295,"R","dark","PV2_D"
"188","PV23",36,"control",35.7790357142857,0.382520483855348,"R","dark","PV23_D"
"189","PV25",36,"control",36.0983392857143,0.957760605849477,"R","dark","PV25_D"
"190","PV7",36,"enriched",35.9140892857143,0.742023250379296,"R","dark","PV7_D"
"193","PV1",37,"enriched",36.9317959183673,0.451460374143528,"R","dark","PV1_D"
"194","PV13",37,"enriched",36.9512040816327,0.637547362958708,"R","dark","PV13_D"
"195","PV17",37,"control",36.9182857142857,0.491816714123688,"R","dark","PV17_D"
"196","PV19",37,"control",37.0829387755102,0.301879551621358,"R","dark","PV19_D"
"197","PV2",37,"enriched",36.8912653061224,0.606541833559697,"R","dark","PV2_D"
"198","PV23",37,"control",36.7914897959184,0.307294634780373,"R","dark","PV23_D"
"199","PV25",37,"control",37.1061428571429,0.893627002405609,"R","dark","PV25_D"
"200","PV7",37,"enriched",36.8345714285714,0.568322618206623,"R","dark","PV7_D"
"203","PV1",38,"enriched",38.2048367346939,0.433313029797074,"R","dark","PV1_D"
"204","PV13",38,"enriched",38.093306122449,0.607101774984301,"R","dark","PV13_D"
"205","PV17",38,"control",38.1811428571429,0.398245473213901,"R","dark","PV17_D"
"206","PV19",38,"control",38.1546530612245,0.31492140231757,"R","dark","PV19_D"
"207","PV2",38,"enriched",38.1833265306122,0.511736423843382,"R","dark","PV2_D"
"208","PV23",38,"control",37.993693877551,0.28817053086694,"R","dark","PV23_D"
"209","PV25",38,"control",38.2779183673469,0.796450135532618,"R","dark","PV25_D"
"210","PV7",38,"enriched",38.0258775510204,0.5154232199587,"R","dark","PV7_D"
"213","PV1",39,"enriched",38.9900612244898,0.406793166813151,"R","dark","PV1_D"
"214","PV13",39,"enriched",38.9277142857143,0.563816965729215,"R","dark","PV13_D"
"215","PV17",39,"control",38.9223469387755,0.380278115913411,"R","dark","PV17_D"
"216","PV19",39,"control",39.0398979591837,0.312738686273678,"R","dark","PV19_D"
"217","PV2",39,"enriched",39.0409795918367,0.467114984238264,"R","dark","PV2_D"
"218","PV23",39,"control",38.9093469387755,0.235872330476591,"R","dark","PV23_D"
"219","PV25",39,"control",39.1402653061225,0.700160135687458,"R","dark","PV25_D"
"220","PV7",39,"enriched",38.8788571428571,0.499559834951264,"R","dark","PV7_D"
"223","PV10",20,"enriched",20.1951020408163,0.288493199680914,"R","dark","PV10_D"
"224","PV18",20,"control",19.9238775510204,0.344201715168907,"R","dark","PV18_D"
"225","PV20",20,"control",19.980612244898,0.371498236440722,"R","dark","PV20_D"
"226","PV22",20,"control",20.0742040816327,0.284219080908049,"R","dark","PV22_D"
"227","PV24",20,"control",20.0370612244898,0.384925540592576,"R","dark","PV24_D"
"228","PV4",20,"enriched",20.1530816326531,0.303402000470491,"R","dark","PV4_D"
"229","PV5",20,"enriched",20.1988163265306,0.414245862599588,"R","dark","PV5_D"
"230","PV9",20,"enriched",20.2010408163265,0.351141013164644,"R","dark","PV9_D"
"233","PV10",22,"enriched",22.1609795918367,0.350970519659858,"R","dark","PV10_D"
"234","PV18",22,"control",21.9568571428571,0.298014866026906,"R","dark","PV18_D"
"235","PV20",22,"control",22.0110612244898,0.384326434188001,"R","dark","PV20_D"
"236","PV22",22,"control",22.0162448979592,0.342316057714365,"R","dark","PV22_D"
