"","fragment.ID","treatment","rate.type","block","E","Eh","lnc","Th","Topt","Pmax"
"25","PV20_D","Control","Dark Respiration",5,0.451472304226407,4.19435495618756,3.62903060758335,311.598256356249,34.2841712436989,3.98691869670531
"26","PV20_L","Control","Gross Photosynthesis",5,0.292014210535179,16.0641402993983,4.33773964862213,309.45812878945,34.2716885856926,4.62409082554128
"27","PV21_D","Control","Dark Respiration",6,0.331992693743199,5.05898935179546,3.03207353855346,312.630008123763,35.1186620374348,3.34502934571844
"28","PV21_L","Control","Gross Photosynthesis",6,0.319284009362535,10.6427351409511,3.78488007323293,308.84398890715,33.0316482132451,4.0387743700947
"29","PV22_D","Control","Dark Respiration",6,0.400732244901923,4.52370579414086,3.00921443947066,312.384216184679,34.959025624858,3.36832845428323
"30","PV22_L","Control","Gross Photosynthesis",6,0.332441341124824,5.83229757862814,3.75209897910099,308.911245061615,31.853769067574,3.94083807747246
"31","PV23_D","Control","Dark Respiration",6,0.63300211621322,2.7760073990183,3.37696533213259,308.792726555161,32.073694532548,3.60663720991425
"32","PV23_L","Control","Gross Photosynthesis",6,0.491878593762359,5.76330735951489,3.8216983001032,307.987181077254,31.5085618506279,4.0773829121075
"33","PV24_D","Control","Dark Respiration",6,0.438545471218497,3.61981639042342,2.73292712738748,312.291794274777,34.6065716558359,3.07938390547846
"34","PV24_L","Control","Gross Photosynthesis",6,0.257157081886408,14.544937476334,3.54168394157189,309.326020724401,33.9145318040146,3.78088387226955
"35","PV25_D","Control","Dark Respiration",7,0.262882525089587,6.49767955656779,3.05424976777016,313.108004760506,35.8935678780765,3.33931198566785
"36","PV25_L","Control","Gross Photosynthesis",7,0.319717880520507,7.52571529030714,3.54522805232039,309.534751905704,33.0033405380216,3.78543587100593
"37","PV26_D","Control","Dark Respiration",7,3.64926661840029,3.70359210310212,6.46216697834597,293.679950579489,29.2257109687671,3.74979227865645
"38","PV26_L","Control","Gross Photosynthesis",7,0.39514279283123,8.22619157510965,4.09573233283528,308.365390023317,32.2679407601655,4.3609820711552
"39","PV27_D","Control","Dark Respiration",7,0.377814566665745,6.18449635140565,4.26429740879335,311.902226979804,35.0908063646042,4.6333715046944
"40","PV27_L","Control","Gross Photosynthesis",7,0.372556700905247,5.38854371070613,4.84806445802201,309.107762273836,32.0342001440789,5.0620823610013
"41","PV28_D","Control","Dark Respiration",7,0.346923685648475,6.86507592217293,2.98364774295365,311.887112866968,35.1951477968186,3.33299005651023
"42","PV28_L","Control","Gross Photosynthesis",7,0.424575599348216,5.31784923808183,3.26403277809666,309.323132666402,32.4277161889839,3.52715828682142
"43","PV29_D","Control","Dark Respiration",8,0.404296424353871,6.83248619454034,4.22278345291599,312.60151370341,36.0778833846937,4.67275651693726
"44","PV29_L","Control","Gross Photosynthesis",8,0.0781411374681056,17.2495072441085,4.81114618620198,309.383706136229,33.6756599556319,4.88241252897528
"45","PV3_D","Enriched","Dark Respiration",1,0.302080892908383,5.0118539702159,3.40652044148054,312.592318367048,34.8933775203494,3.6825606793513
"46","PV3_L","Enriched","Gross Photosynthesis",1,0.276257925919429,6.06418973919468,4.18596894367563,309.359665993524,32.125742746244,4.35431653658594
"47","PV30_D","Control","Dark Respiration",8,0.381214412255672,4.62511727018904,4.25013802561764,313.58193591631,36.0767428679421,4.64586346921357
"48","PV30_L","Control","Gross Photosynthesis",8,0.403086126414667,6.30136655998147,4.95510753307424,308.346513539022,31.7456600938668,5.18357305265624
"49","PV31_D","Control","Dark Respiration",8,0.291205259796614,8.13404232878588,4.54444445549705,311.564599256409,35.0631317875718,4.84005743314508
"50","PV31_L","Control","Gross Photosynthesis",8,0.347332220323838,7.7456344248188,5.40523556492208,308.833408224978,32.4705072482044,5.64452724751039
"51","PV32_D","Control","Dark Respiration",8,0.303989935593392,6.60880932525055,3.69699730128203,312.604387631188,35.6368975435451,4.01781788023636
"52","PV32_L","Control","Gross Photosynthesis",8,0.287534958830758,6.14362008404125,4.25250924236382,308.978327148082,31.8433212594049,4.41820717166057
"53","PV4_D","Enriched","Dark Respiration",1,0.403702634714948,3.82440580304101,2.57933011881077,312.907489491717,35.1116141926732,2.93051755799331
"54","PV4_L","Enriched","Gross Photosynthesis",1,0.329120921022821,15.6488555994173,3.80123273523766,309.192414443554,34.0331573735665,4.11374740060025
"55","PV5_D","Enriched","Dark Respiration",2,0.349242732584592,4.20451966325022,3.07901087558016,313.258407310691,35.350461066286,3.40278907736336
"56","PV5_L","Enriched","Gross Photosynthesis",2,0.108427079325146,12.5554880832574,4.34593699902965,309.519967472432,33.2813545058411,4.43717630888342
