"","fragment.ID","treatment","rate.type","block","E","Eh","lnc","Th","Topt"
"18","PV17_L","control","Gross Photosynthesis",5,0.329130114329489,6.33014147643048,4.82448958046484,308.70672792872,304.984532073606
"19","PV18_D","control","Dark Respiration",5,0.366898184228164,4.46110198254539,3.4466651058551,310.314217202201,305.889832184031
"20","PV18_L","control","Gross Photosynthesis",5,0.345581943238224,11.6339654049005,4.07057343459584,308.971237769746,306.524835147779
"21","PV19_D","control","Dark Respiration",5,0.450341619831888,2.00483516272844,2.8587042226876,311.915540518635,306.817751444716
"22","PV19_L","control","Gross Photosynthesis",5,0.304826470960383,12.9402575281489,3.7751783524648,308.894855363387,306.545546870642
"23","PV2_D","enriched","Dark Respiration",1,0.431499863560991,3.58011487738769,3.52069623654287,310.913672576731,306.355692143759
"24","PV2_L","enriched","Gross Photosynthesis",1,0.35049381397916,7.54614577956253,4.20606698249568,309.266247365562,305.999512656459
"25","PV20_D","control","Dark Respiration",5,0.451472304226407,4.19435495618756,3.62903060758335,311.598256356249,307.434171243699
"26","PV20_L","control","Gross Photosynthesis",5,0.292014210535179,16.0641402993983,4.33773964862213,309.45812878945,307.421688585693
"27","PV21_D","control","Dark Respiration",6,0.331992693743199,5.05898935179546,3.03207353855346,312.630008123763,308.268662037435
"28","PV21_L","control","Gross Photosynthesis",6,0.319284009362535,10.6427351409511,3.78488007323293,308.84398890715,306.181648213245
"29","PV22_D","control","Dark Respiration",6,0.400732244901923,4.52370579414086,3.00921443947066,312.384216184679,308.109025624858
"30","PV22_L","control","Gross Photosynthesis",6,0.332441341124824,5.83229757862814,3.75209897910099,308.911245061615,305.003769067574
"31","PV23_D","control","Dark Respiration",6,0.63300211621322,2.7760073990183,3.37696533213259,308.792726555161,305.223694532548
"32","PV23_L","control","Gross Photosynthesis",6,0.491878593762359,5.76330735951489,3.8216983001032,307.987181077254,304.658561850628
"33","PV24_D","control","Dark Respiration",6,0.438545471218497,3.61981639042342,2.73292712738748,312.291794274777,307.756571655836
"34","PV24_L","control","Gross Photosynthesis",6,0.257157081886408,14.544937476334,3.54168394157189,309.326020724401,307.064531804015
"35","PV25_D","control","Dark Respiration",7,0.262882525089587,6.49767955656779,3.05424976777016,313.108004760506,309.043567878076
"36","PV25_L","control","Gross Photosynthesis",7,0.319717880520507,7.52571529030714,3.54522805232039,309.534751905704,306.153340538022
"37","PV26_D","control","Dark Respiration",7,3.64926661840029,3.70359210310212,6.46216697834597,293.679950579489,302.375710968767
"38","PV26_L","control","Gross Photosynthesis",7,0.39514279283123,8.22619157510965,4.09573233283528,308.365390023317,305.417940760165
"39","PV27_D","control","Dark Respiration",7,0.377814566665745,6.18449635140565,4.26429740879335,311.902226979804,308.240806364604
"40","PV27_L","control","Gross Photosynthesis",7,0.372556700905247,5.38854371070613,4.84806445802201,309.107762273836,305.184200144079
"41","PV28_D","control","Dark Respiration",7,0.346923685648475,6.86507592217293,2.98364774295365,311.887112866968,308.345147796819
"42","PV28_L","control","Gross Photosynthesis",7,0.424575599348216,5.31784923808183,3.26403277809666,309.323132666402,305.577716188984
"43","PV29_D","control","Dark Respiration",8,0.404296424353871,6.83248619454034,4.22278345291599,312.60151370341,309.227883384694
"44","PV29_L","control","Gross Photosynthesis",8,0.0781411374681056,17.2495072441085,4.81114618620198,309.383706136229,306.825659955632
"45","PV3_D","enriched","Dark Respiration",1,0.302080892908383,5.0118539702159,3.40652044148054,312.592318367048,308.043377520349
"46","PV3_L","enriched","Gross Photosynthesis",1,0.276257925919429,6.06418973919468,4.18596894367563,309.359665993524,305.275742746244
"47","PV30_D","control","Dark Respiration",8,0.381214412255672,4.62511727018904,4.25013802561764,313.58193591631,309.226742867942
"48","PV30_L","control","Gross Photosynthesis",8,0.403086126414667,6.30136655998147,4.95510753307424,308.346513539022,304.895660093867
"49","PV31_D","control","Dark Respiration",8,0.291205259796614,8.13404232878588,4.54444445549705,311.564599256409,308.213131787572
"50","PV31_L","control","Gross Photosynthesis",8,0.347332220323838,7.7456344248188,5.40523556492208,308.833408224978,305.620507248204
"51","PV32_D","control","Dark Respiration",8,0.303989935593392,6.60880932525055,3.69699730128203,312.604387631188,308.786897543545
"52","PV32_L","control","Gross Photosynthesis",8,0.287534958830758,6.14362008404125,4.25250924236382,308.978327148082,304.993321259405
"53","PV4_D","enriched","Dark Respiration",1,0.403702634714948,3.82440580304101,2.57933011881077,312.907489491717,308.261614192673
"54","PV4_L","enriched","Gross Photosynthesis",1,0.329120921022821,15.6488555994173,3.80123273523766,309.192414443554,307.183157373566
"55","PV5_D","enriched","Dark Respiration",2,0.349242732584592,4.20451966325022,3.07901087558016,313.258407310691,308.500461066286
"56","PV5_L","enriched","Gross Photosynthesis",2,0.108427079325146,12.5554880832574,4.34593699902965,309.519967472432,306.431354505841
"57","PV6_D","enriched","Dark Respiration",2,0.337246704871919,5.34475889340828,4.29617369462145,312.584009906859,308.389625238003
"58","PV6_L","enriched","Gross Photosynthesis",2,0.346279900362176,6.33369646016531,5.2761415470846,309.075574587762,305.41394830656
"59","PV7_D","enriched","Dark Respiration",2,0.501636739253734,2.99384055571462,3.43237617442089,310.826289867137,306.430125671431
"60","PV7_L","enriched","Gross Photosynthesis",2,0.267199438719484,5.88307767051124,4.54661285940246,308.75990860014,304.563862016004
"61","PV8_D","enriched","Dark Respiration",2,0.319164558362999,7.64976315161681,4.20456408261073,312.914924197626,309.494716948023
"62","PV8_L","enriched","Gross Photosynthesis",2,0.262398547527884,11.81185442651,5.287547536596,309.706969236918,307.080308553538
"63","PV9_D","enriched","Dark Respiration",3,0.39707791768884,4.97033294100013,2.9336368241514,310.840045409582,306.798144512955
"64","PV9_L","enriched","Gross Photosynthesis",3,0.248560445587303,17.0127584657249,3.69548287517599,309.436215032124,307.406503014525
